token_id,name,role_type,personality,skill,story
50,Sin Dreamweaver,医者,慈悲为怀，怜爱众生，兼具无私的特质,药草调配,慈悲是她的本性，无论灵魂因何受伤，她都会伸出援手。医者仁心，说的便是她。
51,Beatrix of Dreams,守护者,神秘莫测，深不可测，兼具果敢的特质,反射攻击,她曾是普通的灵魂，但镜界的危机唤醒了她内心的力量。如今，她以守护者之名，守护着每一片土地。
52,Adelaide The Weaver,神秘者,忠诚可靠，值得信赖，兼具好奇的特质,虚数空间,行走于现实与虚幻的边界，她掌握着常人无法理解的秘术。梦境编织是她的招牌，神秘而强大。
53,Rosalind Order of the,医者,坚韧不拔，百折不挠，兼具无私的特质,健康守护,慈悲是她的本性，无论灵魂因何受伤，她都会伸出援手。医者仁心，说的便是她。
54,Esmeralda Riverdancer,神秘者,神秘莫测，深不可测，兼具神秘的特质,虚数空间,神秘笼罩着她的身影，在镜界的角落，总能发现她留下的奇异痕迹。她的真实身份是她永恒的谜题。
55,Luna Cosmos,神秘者,冷峻如霜，洞察本质，兼具好奇的特质,镜中漫步,行走于现实与虚幻的边界，她掌握着常人无法理解的秘术。镜中漫步是她的招牌，神秘而强大。
56,Lunaria of the North,神秘者,成熟稳重，处事周全，兼具好奇的特质,咒语吟唱,神秘笼罩着她的身影，在镜界的角落，总能发现她留下的奇异痕迹。她的过去是她永恒的谜题。
57,Starweaver Ravencroft,文员,犹豫不决，优柔寡断，兼具务实的特质,流程优化,她是镜界秩序的维护者，负责管理着无数灵魂的信息档案。档案整理是她每日的职责。
58,Victoria The Knight,工匠,温柔如月，照亮黑暗，兼具专注的特质,构造之力,作为工匠，她相信万物皆可重塑。即使是破碎的灵魂，在她手中也能获得新生。
59,Cordelia The Knight,守护者,聪慧机敏，反应敏捷，兼具勇敢的特质,镜盾防御,她是被镜界意志选中的守护者，誓死捍卫这片世界的安宁。手持反射之盾，将一切入侵者化为虚无。
60,Artemis Baroness,诗人,慈悲为怀，怜爱众生，兼具理想的特质,灵感迸发,在镜界的寂静角落，她低声吟唱着自己的诗篇。那些词语如同星尘，洒落在这片世界。
61,Malice Maidens,园丁,豁达乐观，笑看风云，兼具细腻的特质,花语交流,在镜界的某处，有一片只有她知道的秘密花园，那里有她所有的心血与爱。
62,Raven Priestess,神秘者,敏感细腻，感受敏锐，兼具深沉的特质,符文刻写,神秘笼罩着她的身影，在镜界的角落，总能发现她留下的奇异痕迹。她的起源是她永恒的谜题。
63,Shade Moonbinder,学者,温柔如月，照亮黑暗，兼具求知的特质,解析之眼,她是镜界最博学的灵魂之一，哲学领域的权威。虽然性格严谨，却乐于分享自己的发现。
64,Onyx The Sage,诗人,犹豫不决，优柔寡断，兼具理想的特质,灵感迸发,以诗为剑，以词为盾。她的诗句拥有超越文字本身的力量，能够触动最坚硬的心。
65,Tansy The Weaver,神秘者,狡黠聪慧，智计百出，兼具好奇的特质,虚数空间,神秘笼罩着她的身影，在镜界的角落，总能发现她留下的奇异痕迹。她的起源是她永恒的谜题。
66,Lyria Starweaver,梦者,犹豫不决，优柔寡断，兼具梦幻的特质,噩梦封印,梦境是她最熟悉的领域，在那里她拥有绝对的主宰权。醒来的人们往往不记得她的存在。
67,Aria The Wanderer,神,如风般自由，不受束缚，兼具慈悲的特质,时空扭曲,她是镜界的创世神灵之一，掌管着情感的法则。在虚空中诞生，以炽热之姿守护着这个精神世界的运转。
68,Crimson Conclave of,歌者,忠诚可靠，值得信赖，兼具热情的特质,音波攻击,她的歌声能穿透镜界的每一个角落。安魂曲是她最擅长的曲调，令人沉醉不已。
69,Moonshade Countess,战士,豁达乐观，笑看风云，兼具热血的特质,冲锋之力,以战斗为生，以胜利为荣。她是镜界最强的战士之一，从未尝过失败的滋味。
70,Lilith The Keeper,医者,执着坚定，矢志不渝，兼具仁慈的特质,生命复苏,她是镜界的治愈者，游走于受伤的灵魂之间。触碰是她治愈伤痛的方式。
71,Ariadne Blackwood,神秘者,沉静如水，波澜不惊，兼具疏离的特质,幻影术,行走于现实与虚幻的边界，她掌握着常人无法理解的秘术。幻影术是她的招牌，神秘而强大。
72,Lyria Eclipse,占卜师,豁达乐观，笑看风云，兼具神秘的特质,因果追溯,她能窥见命运的丝线，预知未来的轮廓。塔罗是她解读命运的方式。
73,Countess The Oracle,医者,神秘莫测，深不可测，兼具仁慈的特质,伤痛抚慰,她掌握着生命的奥秘，能够缝合最深的创伤。在镜界，她是最受敬重的存在之一。
74,Isolde Stoneheart,编织者,狡黠聪慧，智计百出，兼具专注的特质,线术操控,命运之线在她指尖流转，能够编织出无限的可能。她是少数能触碰因果的存在。
75,Nocturne Goldenlion,梦者,孤独清高，遗世独立，兼具迷茫的特质,梦境治愈,梦境是她最熟悉的领域，在那里她拥有绝对的主宰权。醒来的人们往往不记得她的存在。
76,Rosemary Lightbringer,战士,神秘莫测，深不可测，兼具刚毅的特质,连击之术,以战斗为生，以胜利为荣。她是镜界最强的战士之一，从未尝过失败的滋味。
77,Elisabeth Wraithborne,守望者,豁达乐观，笑看风云，兼具沉默的特质,警戒信号,孤独是她的伴侣，但她从未抱怨。因为她知道，她的职责关乎整个镜界的安危。
78,Obsidian The Witch,神秘者,热情如火，燃烧一切，兼具疏离的特质,虚数空间,她是镜界的探索者，穿越一个又一个未知的领域。没有人知道她的过去，也没人能预测她的未来。
79,Lenobia Duskwalker,园丁,优雅从容，气质高贵，兼具耐心的特质,季节操控,每一株植物都与她有着特殊的联系，她能听到它们的低语，感受到它们的情感。
80,Empress Enigmatica,占卜师,热情如火，燃烧一切，兼具超然的特质,宿命揭示,作为占卜师，她知道太多不该知道的事。有时，她希望自己从未拥有这份能力。
81,Darkwind of the Abyss,守墓者,天真烂漫，纯真无邪，兼具肃穆的特质,死亡凝视,在镜界的边缘，在遗忘的角落，她默默守望着那些不再醒来的人。
82,Lenobia Conclave of,学者,冲动热血，易于激动，兼具理性的特质,知识殿堂,她穷尽一生追寻镜界的真理，图书馆是她最常停留的地方。灵魂奥秘是她研究的核心课题。
83,Sin Goldenlion,旅行者,沉静如水，波澜不惊，兼具自由的特质,方位直觉,作为流浪者，她不属于任何地方，却也属于任何地方。每一次相遇都是命运的安排，每一次分别都是新的开始。
84,Lady Winterborne,编织者,聪慧机敏，反应敏捷，兼具专注的特质,时间之纱,她的织机永不停歇，每一根丝线都是一段未完的故事。
85,Charlotte Goldleaf,编织者,如风般自由，不受束缚，兼具耐心的特质,命运编织,她编织着镜界最神秘的丝线，每一根线都连接着命运的一个节点。时间之纱是她的天赋。
86,Celestine Flamekeeper,猎人,狡黠聪慧，智计百出，兼具果断的特质,目标锁定,她是黑暗中的死神，专门收割那些不应存在于镜界的事物。
87,Lenobia of Eternity,学者,温柔如月，照亮黑暗，兼具求知的特质,知识殿堂,她是镜界最博学的灵魂之一，科学领域的权威。虽然性格外向，却乐于分享自己的发现。
88,Iris Stormcaller,园丁,慈悲为怀，怜爱众生，兼具朴实的特质,绿意盎然,在镜界的某处，有一片只有她知道的秘密花园，那里有她所有的心血与爱。
89,Selene Sunstrider,工匠,执着坚定，矢志不渝，兼具专注的特质,物品强化,她制作的每件物品都蕴含着特殊的魔力。{craft}是她最擅长的技艺，作品遍布整个镜界。
90,Arabella Order of the,梦者,热情开朗，光芒四射，兼具迷茫的特质,幻象创造,她是穿梭于梦境与现实的旅人，在睡意中编织着另一个世界。造梦是她独有的天赋。
91,Aurora Duskwalker,战士,坚韧不拔，百折不挠，兼具坚毅的特质,冲锋之力,以战斗为生，以胜利为荣。她是镜界最强的战士之一，从未尝过失败的滋味。
92,Yarrow of Dreams,猎人,冲动热血，易于激动，兼具隐忍的特质,追踪术,她是镜界的追踪者，没有猎物能逃过她的追踪。梦境潜伏是她的标志。
93,Malice Seawarden,医者,聪慧机敏，反应敏捷，兼具无私的特质,净化毒素,慈悲是她的本性，无论灵魂因何受伤，她都会伸出援手。医者仁心，说的便是她。
94,Midnight Sentinel,文员,热情如火，燃烧一切，兼具条理的特质,资料检索,她是镜界秩序的维护者，负责管理着无数灵魂的信息档案。事务协调是她每日的职责。
95,Circe Thornwood,旅行者,叛逆不羁，自由洒脱，兼具好奇的特质,瞬移之步,她穿越镜界的每一个位面，以声音的方式记录着所见所闻。记录美好是她永恒的追求。
96,Rosemary Voidtouched,编织者,沉静如水，波澜不惊，兼具细腻的特质,命运编织,命运之线在她指尖流转，能够编织出无限的可能。她是少数能触碰因果的存在。
97,Tempest Nightwalker,园丁,如风般自由，不受束缚，兼具朴实的特质,植物治愈,她在镜界培育着一座属于自己的花园。光之园是她精心照料的领域。
98,Willow Stormwind,学者,热情开朗，光芒四射，兼具理性的特质,文献解读,她穷尽一生追寻镜界的真理，图书馆是她最常停留的地方。世界本源是她研究的核心课题。
99,Fauna Twilight,歌者,聪慧机敏，反应敏捷，兼具感性的特质,情绪共鸣,每首歌曲都是一段旅程，每个音符都是一缕情感。她的声音是镜界最美的礼物。
100,Lenobia Twilight,守护者,坚韧不拔，百折不挠，兼具果敢的特质,牺牲庇护,作为花园的守护者，她的存在本身就是一道不可逾越的屏障。她的职责是保护那些脆弱的灵魂。
101,Tempest of Eternity,战士,冲动热血，易于激动，兼具热血的特质,防御姿态,她是镜界的战斗专家，暗矛是她最信赖的伙伴。每一次挥剑都是对敌人的致命威胁。
102,Lenobia Seawarden,战士,坚韧不拔，百折不挠，兼具刚毅的特质,战意沸腾,战场是她唯一的归宿，刀光剑影中诠释着生命的意义。她的存在让黑暗势力闻风丧胆。
103,Darkwind Celestine,歌者,如风般自由，不受束缚，兼具开朗的特质,歌声诱惑,她的歌声能穿透镜界的每一个角落。战歌是她最擅长的曲调，令人沉醉不已。
104,Thalindra Phantom,诗人,冷峻如霜，洞察本质，兼具敏感的特质,文字魔法,她是镜界的吟游诗人，用词句编织着灵魂的故事。每首诗歌都是一段被遗忘的记忆。
105,Terpsichore Goldleaf,神,温柔如月，照亮黑暗，兼具威严的特质,法则书写,她是镜界的创世神灵之一，掌管着意志的法则。在虚空中诞生，以炽热之姿守护着这个精神世界的运转。
106,Ebony The Weaver,梦者,执着坚定，矢志不渝，兼具敏感的特质,梦境遨游,她的睡眠比常人更长，因为对她而言，梦境才是真正的现实。
107,Catalina Obscura,守望者,热情如火，燃烧一切，兼具坚毅的特质,危险感知,在最高的塔楼上，她日夜注视着地平线。即使风暴将至，她也不会退缩。
108,Medea Shadowmere,诗人,内敛含蓄，蓄势待发，兼具敏感的特质,诗意降临,她是镜界的吟游诗人，用词句编织着灵魂的故事。每首诗歌都是一段被遗忘的记忆。
109,Countess The Keeper,战士,执着坚定，矢志不渝，兼具坚毅的特质,冲锋之力,以战斗为生，以胜利为荣。她是镜界最强的战士之一，从未尝过失败的滋味。
110,Daisy Starweaver,守墓者,静若处子，动若脱兔，兼具肃穆的特质,轮回指引,死亡对她而言不是终结，而是另一种开始。她为每一个离去的灵魂指引方向。
111,Cordelia Flamekeeper,旅行者,豁达乐观，笑看风云，兼具随性的特质,方位直觉,作为流浪者，她不属于任何地方，却也属于任何地方。每一次相遇都是命运的安排，每一次分别都是新的开始。
112,Vampira of Sorrows,工匠,静若处子，动若脱兔，兼具务实的特质,造物之力,她制作的每件物品都蕴含着特殊的魔力。{craft}是她最擅长的技艺，作品遍布整个镜界。
113,Celestine Eveningstar,守护者,沉静如水，波澜不惊，兼具忠诚的特质,镜盾防御,作为森林的守护者，她的存在本身就是一道不可逾越的屏障。她的职责是保护那些脆弱的灵魂。
114,Guinevere Earthshaker,园丁,热情开朗，光芒四射，兼具耐心的特质,花语交流,每一株植物都与她有着特殊的联系，她能听到它们的低语，感受到它们的情感。
115,Lady Viscountess,诗人,豁达乐观，笑看风云，兼具理想的特质,诗意降临,她是镜界的吟游诗人，用词句编织着灵魂的故事。每首诗歌都是一段被遗忘的记忆。
116,Elysium The Knight,猎人,慈悲为怀，怜爱众生，兼具敏锐的特质,伏击战术,她是镜界的追踪者，没有猎物能逃过她的追踪。暗影猎杀是她的标志。
117,Guinevere Maidens,梦者,神秘莫测，深不可测，兼具超脱的特质,沉睡之力,她的睡眠比常人更长，因为对她而言，梦境才是真正的现实。
118,Midnight Dreamweaver,旅行者,聪慧机敏，反应敏捷，兼具随性的特质,路径记忆,她穿越镜界的每一个位面，以绘画的方式记录着所见所闻。体验人生是她永恒的追求。
119,Morrigan The Hunter,守护者,冷峻如霜，洞察本质，兼具忠诚的特质,反射攻击,她曾是普通的灵魂，但镜界的危机唤醒了她内心的力量。如今，她以守护者之名，守护着每一片土地。
120,Catalina The Knight,猎人,慈悲为怀，怜爱众生，兼具隐忍的特质,野兽沟通,她是镜界的追踪者，没有猎物能逃过她的追踪。暗影猎杀是她的标志。
121,Iris The Seeker,收藏家,冷峻如霜，洞察本质，兼具挑剔的特质,宝库构建,每件藏品都有它的故事，每个故事她都能娓娓道来。她是镜界最博学的收藏家。
122,Cordelia Riverdancer,守墓者,执着坚定，矢志不渝，兼具淡泊的特质,轮回指引,死亡对她而言不是终结，而是另一种开始。她为每一个离去的灵魂指引方向。
123,Faelina The Wanderer,工匠,犹豫不决，优柔寡断，兼具务实的特质,完美工艺,她制作的每件物品都蕴含着特殊的魔力。{craft}是她最擅长的技艺，作品遍布整个镜界。
124,Countess Twilight,守护者,沉静如水，波澜不惊，兼具勇敢的特质,誓约之力,她是被镜界意志选中的守护者，誓死捍卫这片世界的安宁。手持反射之盾，将一切入侵者化为虚无。
125,Beatrix The Sage,神秘者,敏感细腻，感受敏锐，兼具神秘的特质,虚数空间,她是镜界的探索者，穿越一个又一个未知的领域。没有人知道她的过去，也没人能预测她的未来。
126,Nimue Goldenlion,诗人,热情开朗，光芒四射，兼具浪漫的特质,文字魔法,以诗为剑，以词为盾。她的诗句拥有超越文字本身的力量，能够触动最坚硬的心。
127,Dawnwhisper of Sorrows,占卜师,静若处子，动若脱兔，兼具深沉的特质,命运窥探,没有人能在她面前隐藏秘密，因为她看到的不是现在，而是因果的锁链。
128,Ophelia Dreamweaver,守护者,静若处子，动若脱兔，兼具坚定的特质,镜盾防御,作为深渊的守护者，她的存在本身就是一道不可逾越的屏障。她的职责是保护那些脆弱的灵魂。
129,Empress The Seeker,占卜师,温柔如月，照亮黑暗，兼具超然的特质,命运窥探,她能窥见命运的丝线，预知未来的轮廓。塔罗是她解读命运的方式。
130,Elder The Witch,文员,热情开朗，光芒四射，兼具条理的特质,资料检索,在堆积如山的文件之间，她找到了自己的价值。秩序是她永恒的追求。
131,Hestia Synod of,神,狡黠聪慧，智计百出，兼具威严的特质,创世之力,作为高位存在，她的力量与镜界本源相连。每当镜界出现裂痕，她便以净化之力修补，维持着世界的平衡。
132,Marigold Dame,文员,优雅从容，气质高贵，兼具细心的特质,资料检索,在堆积如山的文件之间，她找到了自己的价值。秩序是她永恒的追求。
133,Malice Frostweaver,歌者,热情如火，燃烧一切，兼具开朗的特质,天籁之音,她的歌声能穿透镜界的每一个角落。挽歌是她最擅长的曲调，令人沉醉不已。
134,Vampira of the Void,守护者,优雅从容，气质高贵，兼具忠诚的特质,反射攻击,她是被镜界意志选中的守护者，誓死捍卫这片世界的安宁。手持反射之盾，将一切入侵者化为虚无。
135,Lavender of Sorrows,文员,孤独清高，遗世独立，兼具细心的特质,资料检索,在堆积如山的文件之间，她找到了自己的价值。秩序是她永恒的追求。
136,Rowan Vermillion,守护者,冷峻如霜，洞察本质，兼具勇敢的特质,反射攻击,她是被镜界意志选中的守护者，誓死捍卫这片世界的安宁。手持反射之盾，将一切入侵者化为虚无。
137,Lyria Warden,战士,慈悲为怀，怜爱众生，兼具热血的特质,冲锋之力,战场是她唯一的归宿，刀光剑影中诠释着生命的意义。她的存在让黑暗势力闻风丧胆。
138,Tempest Riverdancer,工匠,慈悲为怀，怜爱众生，兼具精益的特质,物品强化,她的工作室藏着镜界最珍贵的秘密，每一件作品都讲述着一段独特的故事。
139,Aelindra of the Abyss,神秘者,狡黠聪慧，智计百出，兼具疏离的特质,符文刻写,神秘笼罩着她的身影，在镜界的角落，总能发现她留下的奇异痕迹。她的起源是她永恒的谜题。
140,Stella Lady,战士,慈悲为怀，怜爱众生，兼具热血的特质,镜斩,她是镜界的战斗专家，暗矛是她最信赖的伙伴。每一次挥剑都是对敌人的致命威胁。
141,Celestine Whitewyrm,歌者,执着坚定，矢志不渝，兼具感性的特质,音波攻击,天籁之音，绕梁三日。她用歌声抚慰受伤的灵魂，用旋律点亮黑暗的角落。
142,Morticia Keeper,守护者,忠诚可靠，值得信赖，兼具坚定的特质,净化之光,她曾是普通的灵魂，但镜界的危机唤醒了她内心的力量。如今，她以守护者之名，守护着每一片土地。
143,Shadow Stormwind,守望者,成熟稳重，处事周全，兼具坚毅的特质,危险感知,在最高的塔楼上，她日夜注视着地平线。即使风暴将至，她也不会退缩。
144,Umbra Mistress,园丁,聪慧机敏，反应敏捷，兼具细腻的特质,绿意盎然,每一株植物都与她有着特殊的联系，她能听到它们的低语，感受到它们的情感。
145,Elder Ashford,学者,执着坚定，矢志不渝，兼具理性的特质,真理追寻,她穷尽一生追寻镜界的真理，图书馆是她最常停留的地方。世界本源是她研究的核心课题。
146,Hecate Warden,梦者,冷峻如霜，洞察本质，兼具迷茫的特质,梦境编织,她的睡眠比常人更长，因为对她而言，梦境才是真正的现实。
147,Morwenna Voidtouched,神秘者,冷峻如霜，洞察本质，兼具好奇的特质,镜中漫步,神秘笼罩着她的身影，在镜界的角落，总能发现她留下的奇异痕迹。她的过去是她永恒的谜题。
148,Fauna Winterborne,梦者,执着坚定，矢志不渝，兼具梦幻的特质,噩梦封印,她的睡眠比常人更长，因为对她而言，梦境才是真正的现实。
149,Lyria The Seeker,文员,叛逆不羁，自由洒脱，兼具细心的特质,文书魔法,在堆积如山的文件之间，她找到了自己的价值。秩序是她永恒的追求。
150,Cassandra Nebula,神秘者,执着坚定，矢志不渝，兼具好奇的特质,记忆窥探,她是镜界的探索者，穿越一个又一个未知的领域。没有人知道她的过去，也没人能预测她的未来。
151,Terra Astral,神秘者,孤独清高，遗世独立，兼具好奇的特质,幻影术,行走于现实与虚幻的边界，她掌握着常人无法理解的秘术。虚数空间是她的招牌，神秘而强大。
152,Violet Shadowdancer,文员,天真烂漫，纯真无邪，兼具耐心的特质,事务协调,她是镜界秩序的维护者，负责管理着无数灵魂的信息档案。档案整理是她每日的职责。
153,Hex Sentinel,守护者,静若处子，动若脱兔，兼具勇敢的特质,镜盾防御,她曾是普通的灵魂，但镜界的危机唤醒了她内心的力量。如今，她以守护者之名，守护着每一片土地。
154,Arabella Shadowdancer,文员,犹豫不决，优柔寡断，兼具务实的特质,记录之笔,她是镜界最不可或缺的存在之一，虽然不起眼，却维系着整个世界的运转。
155,Wrath Leafsinger,学者,沉静如水，波澜不惊，兼具求知的特质,知识殿堂,她穷尽一生追寻镜界的真理，图书馆是她最常停留的地方。世界本源是她研究的核心课题。
